"Commune","Qté tot réc par les caves particulières (hl)","Part Vins AOP rouge/rosé réc (%)","Part Vins AOP blanc réc (%)","Part Vins IGP rouge/rosé réc (%)","Part Vins IGP blanc réc (%)","Part Vins sans IG et autres rouge/rosé réc (%)","Part Vins sans IG et autres blanc réc (%)","Accès au graphique de la part des types de vin / couleur","code"
"07- ARLEBOSC","214","24.3","2.1","36.9","25.3","11.5","0","url:../graphs/rpart/rpart_c34.html;D'autres informations","07"
"07- SECHERAS","281","54.5","11.5","16.7","3.6","11.3","2.5","url:../graphs/rpart/rpart_c59.html;D'autres informations","07"
"07- ARRAS-SUR-RHONE","456","55.1","5.7","18.3","10.2","10.8","0","url:../graphs/rpart/rpart_c35.html;D'autres informations","07"
"07- CORNAS","2457","88.3","8.4","0","0.2","3.1","0.1","url:../graphs/rpart/rpart_c39.html;D'autres informations","07"
"07- LIMONY","1390","31.4","24.8","28.8","14.3","0.7","0.1","url:../graphs/rpart/rpart_c44.html;D'autres informations","07"
"07- MAUVES","3049","73.1","20.7","1.1","0","4.6","0.5","url:../graphs/rpart/rpart_c46.html;D'autres informations","07"
"07- SAINT-JEAN-DE-MUZOLS","2107","78.8","12.7","1.4","0.8","5.1","1.3","url:../graphs/rpart/rpart_c50.html;D'autres informations","07"
"07- SERRIERES","519","57.1","30.6","1.2","0","7.4","3.8","url:../graphs/rpart/rpart_c60.html;D'autres informations","07"
"07- SAINT-GERMAIN","565","0","0","0","100","0","0","url:../graphs/rpart/rpart_c49.html;D'autres informations","07"
"07- ALBA-LA-ROMAINE","6007","0","0","7.2","91.1","0.4","1.2","url:../graphs/rpart/rpart_c33.html;D'autres informations","07"
"07- SAINT-MARTIN-D'ARDECHE","4257","77.2","4","8.4","1","9.4","0","url:../graphs/rpart/rpart_c54.html;D'autres informations","07"
"07- CHARNAS","2623","43.6","12.3","18.9","12","8.8","4.4","url:../graphs/rpart/rpart_c37.html;D'autres informations","07"
"07- GLUN","234","86.5","11.5","0","0","2.1","0","url:../graphs/rpart/rpart_c40.html;D'autres informations","07"
"11- FABREZAN","12907","45.4","1.1","41","9.9","2.4","0.2","url:../graphs/rpart/rpart_c95.html;D'autres informations","11"
"11- SAINT-ANDRE-DE-ROQUELONGUE","14753","28.9","38.5","26.3","3.1","2.5","0.6","url:../graphs/rpart/rpart_c140.html;D'autres informations","11"
"11- SAINT-LAURENT-DE-LA-CABRERISSE","13914","76.8","1.2","19.2","1.7","1.1","0","url:../graphs/rpart/rpart_c143.html;D'autres informations","11"
"11- VILLENEUVE-MINERVOIS","2718","25.7","0","58.2","11.8","4.3","0","url:../graphs/rpart/rpart_c162.html;D'autres informations","11"
"11- VILLELONGUE-D'AUDE","4333","0.3","79.1","12.6","3.6","3.7","0.8","url:../graphs/rpart/rpart_c159.html;D'autres informations","11"
"11- LEZIGNAN-CORBIERES","31312","39","0.4","38.5","11","11","0","url:../graphs/rpart/rpart_c107.html;D'autres informations","11"
"11- RIEUX-MINERVOIS","5649","16.9","0","45.7","26","11.3","0","url:../graphs/rpart/rpart_c136.html;D'autres informations","11"
"11- BIZE-MINERVOIS","4662","61.8","6.7","20.8","3.8","5.3","1.6","url:../graphs/rpart/rpart_c79.html;D'autres informations","11"
"11- VILLEMOUSTAUSSOU","5224","9.7","0","78.1","10.9","1.3","0","url:../graphs/rpart/rpart_c160.html;D'autres informations","11"
"11- CARCASSONNE","18458","1.7","0","60.3","5","28.7","4.3","url:../graphs/rpart/rpart_c83.html;D'autres informations","11"
"11- LIMOUX","3499","0","67.1","7.9","21.5","3.4","0.1","url:../graphs/rpart/rpart_c108.html;D'autres informations","11"
"11- TREBES","13495","41.7","0","45.9","6.3","6","0.1","url:../graphs/rpart/rpart_c154.html;D'autres informations","11"
"11- AZILLE","49446","9.3","0.1","49.7","28.1","11.5","1.4","url:../graphs/rpart/rpart_c74.html;D'autres informations","11"
"11- CASTELRENG","975","14.8","69","8.2","7.9","0","0","url:../graphs/rpart/rpart_c84.html;D'autres informations","11"
"11- BIZANET","10789","19.3","1","61.2","11","7","0.5","url:../graphs/rpart/rpart_c78.html;D'autres informations","11"
"11- FESTES-ET-SAINT-ANDRE","186","0","62.6","0","2.2","2.1","33.1","url:../graphs/rpart/rpart_c97.html;D'autres informations","11"
"11- CONQUES-SUR-ORBIEL","8494","25.6","0","56.9","15","2.5","0","url:../graphs/rpart/rpart_c87.html;D'autres informations","11"
"11- GRUISSAN","3171","44.9","2.6","15.4","5.1","28.5","3.5","url:../graphs/rpart/rpart_c103.html;D'autres informations","11"
"11- CAUNES-MINERVOIS","10401","72.8","1.2","20.3","2.6","2.9","0.2","url:../graphs/rpart/rpart_c85.html;D'autres informations","11"
"11- LAURE-MINERVOIS","11194","40.7","2","36.8","2.3","15.6","2.7","url:../graphs/rpart/rpart_c105.html;D'autres informations","11"
"11- PAULIGNE","9494","0.3","28.3","36.2","23.1","0","12.2","url:../graphs/rpart/rpart_c123.html;D'autres informations","11"
"11- ROQUETAILLADE","4480","2.3","46.3","30.3","9.3","0.7","11.1","url:../graphs/rpart/rpart_c138.html;D'autres informations","11"
"11- MONTLAUR","7864","17.6","0","70.1","3.3","9","0","url:../graphs/rpart/rpart_c115.html;D'autres informations","11"
"11- COUFFOULENS","6886","0.9","0.3","94.2","3.1","1.5","0","url:../graphs/rpart/rpart_c88.html;D'autres informations","11"
"11- VILLESEQUE-DES-CORBIERES","3730","60.2","4.4","26","2.7","6.6","0.1","url:../graphs/rpart/rpart_c163.html;D'autres informations","11"
"11- TRAUSSE","3238","36.1","1.5","56.5","5.7","0.2","0","url:../graphs/rpart/rpart_c153.html;D'autres informations","11"
"11- DOUZENS","22183","34","0.5","42.5","6.2","13.3","3.5","url:../graphs/rpart/rpart_c93.html;D'autres informations","11"
"11- PENNAUTIER","36381","16.8","0","33.8","23.5","25.8","0.1","url:../graphs/rpart/rpart_c125.html;D'autres informations","11"
"11- LAGRASSE","7276","79.3","1.9","6.8","6.9","4.6","0.5","url:../graphs/rpart/rpart_c104.html;D'autres informations","11"
"11- PIEUSSE","8440","1","23.6","42.7","20.6","6.7","5.5","url:../graphs/rpart/rpart_c128.html;D'autres informations","11"
"11- SALLELES-D'AUDE","20195","8.9","0","50.8","23.3","17","0","url:../graphs/rpart/rpart_c144.html;D'autres informations","11"
"11- VENTENAC-CABARDES","8350","28.2","0","41.7","14.8","14.9","0.4","url:../graphs/rpart/rpart_c156.html;D'autres informations","11"
"11- FERRALS-LES-CORBIERES","2620","58.3","2.3","17.6","0","11.4","10.4","url:../graphs/rpart/rpart_c96.html;D'autres informations","11"
"11- THEZAN-DES-CORBIERES","7588","61.1","0","27.6","5.1","6.2","0","url:../graphs/rpart/rpart_c149.html;D'autres informations","11"
"11- SAINT-HILAIRE","10800","2.9","34.2","47.7","12.2","0","3","url:../graphs/rpart/rpart_c142.html;D'autres informations","11"
"11- PORTEL-DES-CORBIERES","10170","66.9","0","20.3","5.5","5.8","1.5","url:../graphs/rpart/rpart_c130.html;D'autres informations","11"
"11- BOUTENAC","12517","81.9","3.5","12.1","0.5","1.8","0.1","url:../graphs/rpart/rpart_c81.html;D'autres informations","11"
"11- FRAISSE-DES-CORBIERES","4360","69.4","0","23.3","0","6.5","0.8","url:../graphs/rpart/rpart_c101.html;D'autres informations","11"
"11- BOURIEGE","987","0.4","69","5.2","9.5","0","15.8","url:../graphs/rpart/rpart_c80.html;D'autres informations","11"
"11-LA PALME","3802","74.9","4.6","0.3","0.2","17","3","url:../graphs/rpart/rpart_c165.html;D'autres informations","11"
"11- FLEURY","17533","38.8","7.5","22.3","11.5","15.1","4.8","url:../graphs/rpart/rpart_c99.html;D'autres informations","11"
"11- SERVIES-EN-VAL","2561","0","0","50.5","7.3","42.2","0","url:../graphs/rpart/rpart_c146.html;D'autres informations","11"
"11- CUXAC-D'AUDE","25828","0","0","53.4","41.8","3.8","1","url:../graphs/rpart/rpart_c92.html;D'autres informations","11"
"11- RIEUX-EN-VAL","2453","0","0","70.4","0","29.6","0","url:../graphs/rpart/rpart_c135.html;D'autres informations","11"
"11- ORNAISONS","12543","29.1","1.7","48.1","1.3","19.6","0.3","url:../graphs/rpart/rpart_c120.html;D'autres informations","11"
"11- LEUC","12215","0","0","74.2","7.2","15.4","3.2","url:../graphs/rpart/rpart_c106.html;D'autres informations","11"
"11- NARBONNE","53761","35.2","4","32","20.9","6.1","1.9","url:../graphs/rpart/rpart_c119.html;D'autres informations","11"
"11- GINESTAS","6846","2.4","0","57.6","1.8","38.1","0","url:../graphs/rpart/rpart_c102.html;D'autres informations","11"
"11- MOUSSAN","22448","0.6","0","49.3","33.3","9.9","6.9","url:../graphs/rpart/rpart_c117.html;D'autres informations","11"
"11- PEYRIAC-DE-MER","8429","55.6","6","21.5","11.5","5.3","0.1","url:../graphs/rpart/rpart_c127.html;D'autres informations","11"
"11- FITOU","5393","62","10.2","10.6","1.7","13.2","2.3","url:../graphs/rpart/rpart_c98.html;D'autres informations","11"
"11- POUZOLS-MINERVOIS","8092","27.2","0.3","62.3","4","6.2","0","url:../graphs/rpart/rpart_c131.html;D'autres informations","11"
"11- BADENS","12713","33","2.2","45.6","8.5","10.1","0.6","url:../graphs/rpart/rpart_c75.html;D'autres informations","11"
"11- ESCALES","16630","11.7","1.9","44.4","35.1","6.6","0.3","url:../graphs/rpart/rpart_c94.html;D'autres informations","11"
"11- PAZIOLS","3418","85.1","0.8","11.4","1.3","1.5","0","url:../graphs/rpart/rpart_c124.html;D'autres informations","11"
"11- PRADELLES-EN-VAL","2076","26.2","0.7","69.5","0","2.6","1","url:../graphs/rpart/rpart_c132.html;D'autres informations","11"
"11- VILLEGLY","3624","8.3","0","74","10","7.7","0","url:../graphs/rpart/rpart_c158.html;D'autres informations","11"
"11- TALAIRAN","6458","46","1.3","33.7","0","17.5","1.6","url:../graphs/rpart/rpart_c148.html;D'autres informations","11"
"11- MALVES-EN-MINERVOIS","10341","11.9","0.5","28.7","21.7","34.1","3.1","url:../graphs/rpart/rpart_c113.html;D'autres informations","11"
"11- BAGES","4865","88.5","2","6.2","0","3.3","0","url:../graphs/rpart/rpart_c76.html;D'autres informations","11"
"11- MONTBRUN-DES-CORBIERES","5653","69.1","1.2","8.6","2.2","17","2","url:../graphs/rpart/rpart_c114.html;D'autres informations","11"
"11- TOUROUZELLE","24698","5.3","0","36.3","26","18.7","13.8","url:../graphs/rpart/rpart_c151.html;D'autres informations","11"
"11- TUCHAN","2057","79.8","9.5","3","2.1","3.3","2.3","url:../graphs/rpart/rpart_c155.html;D'autres informations","11"
"11- MAILHAC","5344","36.7","0","63.1","0","0.2","0.1","url:../graphs/rpart/rpart_c111.html;D'autres informations","11"
"11- BAGNOLES","7529","26.2","0","41.5","3","29.2","0","url:../graphs/rpart/rpart_c77.html;D'autres informations","11"
"11- TOURNISSAN","3142","37.6","4.5","20.7","0.7","35.7","0.7","url:../graphs/rpart/rpart_c150.html;D'autres informations","11"
"11- CUCUGNAN","2008","83.1","5.2","9.1","0.7","2","0","url:../graphs/rpart/rpart_c91.html;D'autres informations","11"
"11- COUSTOUGE","2822","24.1","0","29","0","46.9","0","url:../graphs/rpart/rpart_c90.html;D'autres informations","11"
"11- COURSAN","14188","0","0","50.4","13.8","28","7.8","url:../graphs/rpart/rpart_c89.html;D'autres informations","11"
"11- ROQUEFORT-DES-CORBIERES","6426","54.5","0.5","1.1","0","42.6","1.2","url:../graphs/rpart/rpart_c137.html;D'autres informations","11"
"11- PEPIEUX","7855","22.7","0.3","50.7","9.2","17.1","0.1","url:../graphs/rpart/rpart_c126.html;D'autres informations","11"
"11- CEPIE","8247","0.2","14.4","33.2","28.5","23.5","0.1","url:../graphs/rpart/rpart_c86.html;D'autres informations","11"
"11- PUICHERIC","2238","9","0","53.7","14.5","20.2","2.6","url:../graphs/rpart/rpart_c133.html;D'autres informations","11"
"11- ARQUETTES-EN-VAL","7173","7.8","0","75.3","6.3","10.5","0","url:../graphs/rpart/rpart_c73.html;D'autres informations","11"
"11- SIGEAN","7677","31.3","0","62.2","0.2","6.2","0","url:../graphs/rpart/rpart_c147.html;D'autres informations","11"
"11- AIGUES-VIVES","11899","3.3","0","59.2","25.4","11.9","0.2","url:../graphs/rpart/rpart_c69.html;D'autres informations","11"
"11- TOURREILLES","2565","0","41.7","27.4","30.9","0","0","url:../graphs/rpart/rpart_c152.html;D'autres informations","11"
"11- ROUBIA","6665","18.7","0.7","63.6","5.6","10.8","0.5","url:../graphs/rpart/rpart_c139.html;D'autres informations","11"
"11- MAGRIE","847","0","43","10.3","41.7","4.2","0.8","url:../graphs/rpart/rpart_c110.html;D'autres informations","11"
"11- MALRAS","5681","1.3","12.4","53.6","28.7","0.8","3.2","url:../graphs/rpart/rpart_c112.html;D'autres informations","11"
"11- CAPENDU","5210","29.6","0","46","18.7","5.7","0","url:../graphs/rpart/rpart_c82.html;D'autres informations","11"
"11- POMAS","1032","0","75.3","24.7","0","0","0","url:../graphs/rpart/rpart_c129.html;D'autres informations","11"
"11- ARGELIERS","6866","3","0","60","19.4","13.7","3.9","url:../graphs/rpart/rpart_c71.html;D'autres informations","11"
"11- ARGENS-MINERVOIS","2288","14.6","0","17.4","5.5","61.3","1.1","url:../graphs/rpart/rpart_c72.html;D'autres informations","11"
"11- ALAIGNE","1138","18.2","2.7","37.5","22.9","10","8.7","url:../graphs/rpart/rpart_c70.html;D'autres informations","11"
"11- SALLES-D'AUDE","11546","14","1.8","52.6","26.8","4.8","0","url:../graphs/rpart/rpart_c145.html;D'autres informations","11"
"11- FONTJONCOUSE","2881","43.2","0","42.5","1","13.1","0.2","url:../graphs/rpart/rpart_c100.html;D'autres informations","11"
"11- MOUSSOULENS","2331","69","0","22","8.9","0.1","0","url:../graphs/rpart/rpart_c118.html;D'autres informations","11"
"11- RIBAUTE","5767","76.7","2.4","18.7","0","2","0.1","url:../graphs/rpart/rpart_c134.html;D'autres informations","11"
"11- VILLALIER","5939","13","0","64.5","1.6","16.1","4.8","url:../graphs/rpart/rpart_c157.html;D'autres informations","11"
"11- PARAZA","8543","24.4","0.9","38","0","31","5.7","url:../graphs/rpart/rpart_c122.html;D'autres informations","11"
"11- VILLENEUVE-LES-CORBIERES","2305","80.8","9.7","9.5","0","0","0","url:../graphs/rpart/rpart_c161.html;D'autres informations","11"
"11- OUVEILLAN","36940","0","0","63.3","15.1","14.9","6.7","url:../graphs/rpart/rpart_c121.html;D'autres informations","11"
"11- SAINT-COUAT-D'AUDE","4800","0.4","0","42.7","25","24.7","7.1","url:../graphs/rpart/rpart_c141.html;D'autres informations","11"
"11- LUC-SUR-ORBIEU","20688","37.5","3.1","34.6","14","9.6","1.3","url:../graphs/rpart/rpart_c109.html;D'autres informations","11"
"11- MONTSERET","6244","80.6","4.2","13","2","0","0.2","url:../graphs/rpart/rpart_c116.html;D'autres informations","11"
"11-LA DIGNE-D'AVAL","8674","0.3","27.9","54.3","4.6","3.1","9.8","url:../graphs/rpart/rpart_c164.html;D'autres informations","11"
"13- LANCON-PROVENCE","9594","85.1","6.6","6","0.8","1","0.4","url:../graphs/rpart/rpart_c184.html;D'autres informations","13"
"13- JOUQUES","2463","75.1","2.2","13.4","5.6","2.8","1","url:../graphs/rpart/rpart_c182.html;D'autres informations","13"
"13- PUYLOUBIER","11326","89.2","3.3","7.3","0.2","0","0","url:../graphs/rpart/rpart_c185.html;D'autres informations","13"
"13- LAMBESC","6481","74.6","5","16.3","1.2","2.8","0.1","url:../graphs/rpart/rpart_c183.html;D'autres informations","13"
"13- SAINT-REMY-DE-PROVENCE","2617","51.9","3","23.6","6.9","9.5","5","url:../graphs/rpart/rpart_c189.html;D'autres informations","13"
"13- TARASCON","23892","0","0","94.8","1.9","3.3","0","url:../graphs/rpart/rpart_c190.html;D'autres informations","13"
"13- EGUILLES","2990","76.5","8.7","10.9","3.6","0.3","0","url:../graphs/rpart/rpart_c181.html;D'autres informations","13"
"13- ARLES","58850","0","0","85","6.3","1.9","6.8","url:../graphs/rpart/rpart_c179.html;D'autres informations","13"
"13- AIX-EN-PROVENCE","7330","82.6","5.1","10.8","1","0.1","0.4","url:../graphs/rpart/rpart_c178.html;D'autres informations","13"
"13- ROGNES","19462","69.1","5.4","23.3","1.8","0.5","0","url:../graphs/rpart/rpart_c186.html;D'autres informations","13"
"13-LE PUY-SAINTE-REPARADE","7725","87.8","9.6","2.1","0.3","0.2","0","url:../graphs/rpart/rpart_c192.html;D'autres informations","13"
"13- SAINT-ETIENNE-DU-GRES","5111","0","0","89.3","1.7","9","0","url:../graphs/rpart/rpart_c188.html;D'autres informations","13"
"13- SAINT-CANNAT","11124","84.6","8.8","5.4","1.1","0","0","url:../graphs/rpart/rpart_c187.html;D'autres informations","13"
"13- CASSIS","7890","34","63.7","1.7","0.3","0","0.2","url:../graphs/rpart/rpart_c180.html;D'autres informations","13"
"13- TRETS","16169","95.8","3.8","0.3","0.1","0","0","url:../graphs/rpart/rpart_c191.html;D'autres informations","13"
"16- TOUZAC","72092","0","0","0.1","0","0.1","99.8","url:../graphs/rpart/rpart_c358.html;D'autres informations","16"
"16- SAINT-AMANT","3152","0","0","0","0","0.9","99.1","url:../graphs/rpart/rpart_c320.html;D'autres informations","16"
"16- SAINT-AULAIS-LA-CHAPELLE","24671","0.1","0","0","0","0.2","99.7","url:../graphs/rpart/rpart_c323.html;D'autres informations","16"
"16- CHATEAUNEUF-SUR-CHARENTE","37490","0","0","0.8","0.2","0.1","98.8","url:../graphs/rpart/rpart_c239.html;D'autres informations","16"
"16- AMBERAC","823","0","0","0","0","4.6","95.4","url:../graphs/rpart/rpart_c193.html;D'autres informations","16"
"16- MONTIGNAC-CHARENTE","942","0","0","0","0","2.8","97.2","url:../graphs/rpart/rpart_c299.html;D'autres informations","16"
"16- SAINT-FRAIGNE","2882","0","0","0.5","0","2.9","96.6","url:../graphs/rpart/rpart_c330.html;D'autres informations","16"
"16- MERIGNAC","70200","0.1","0","0.3","0.3","0.2","99.2","url:../graphs/rpart/rpart_c293.html;D'autres informations","16"
"16- MOULIDARS","64712","0.1","0","0.4","0.2","0.2","99.2","url:../graphs/rpart/rpart_c303.html;D'autres informations","16"
"16- GENAC","13550","0","0","0","0","0.7","99.3","url:../graphs/rpart/rpart_c260.html;D'autres informations","16"
"16- VOUHARTE","797","0","0","0","0","3.2","96.8","url:../graphs/rpart/rpart_c368.html;D'autres informations","16"
"16- BARBEZIEUX-SAINT-HILAIRE","22348","0","0","0","0","0.3","99.7","url:../graphs/rpart/rpart_c207.html;D'autres informations","16"
"16- GUIMPS","45994","0.1","0","0.6","0.3","0.2","98.8","url:../graphs/rpart/rpart_c267.html;D'autres informations","16"
"16- SALLES-DE-BARBEZIEUX","5695","0","0","0","0","0.9","99.1","url:../graphs/rpart/rpart_c348.html;D'autres informations","16"
"16- TORSAC","1366","0","0","1.5","0","3.7","94.8","url:../graphs/rpart/rpart_c356.html;D'autres informations","16"
"16- MONTBOYER","957","0","0","0","0","4.2","95.8","url:../graphs/rpart/rpart_c297.html;D'autres informations","16"
"16- BOISBRETEAU","1649","0","0","0","0","1.5","98.5","url:../graphs/rpart/rpart_c217.html;D'autres informations","16"
"16- SALLES-LAVALETTE","1516","4.3","16.4","0","0","0.8","78.5","url:../graphs/rpart/rpart_c349.html;D'autres informations","16"
"16- ANVILLE","6310","0","0","0","0","0.6","99.4","url:../graphs/rpart/rpart_c199.html;D'autres informations","16"
"16- ANGEAC-CHAMPAGNE","92479","0","0","0.2","0","0","99.7","url:../graphs/rpart/rpart_c196.html;D'autres informations","16"
"16- BROSSAC","2902","0","0","0","0","2.7","97.3","url:../graphs/rpart/rpart_c228.html;D'autres informations","16"
"16- GOURVILLE","17963","0.3","0","0","0","0.2","99.6","url:../graphs/rpart/rpart_c265.html;D'autres informations","16"
"16- REIGNAC","28951","0","0","0.2","0.2","0.2","99.3","url:../graphs/rpart/rpart_c315.html;D'autres informations","16"
"16- MONTCHAUDE","28454","0","0","0.4","0","0.7","98.9","url:../graphs/rpart/rpart_c298.html;D'autres informations","16"
"16- SAINT-BONNET","34711","0","0","0","0","0.2","99.7","url:../graphs/rpart/rpart_c324.html;D'autres informations","16"
"16- VIGNOLLES","18863","0","0","0.2","0","0","99.7","url:../graphs/rpart/rpart_c365.html;D'autres informations","16"
"16- PERIGNAC","5368","0","0","0","0","0.1","99.9","url:../graphs/rpart/rpart_c311.html;D'autres informations","16"
"16- GIMEUX","23989","0","0","0","0","0.1","99.9","url:../graphs/rpart/rpart_c263.html;D'autres informations","16"
"16- MOUTHIERS-SUR-BOEME","4475","0","0","0","0","4","96","url:../graphs/rpart/rpart_c304.html;D'autres informations","16"
"16- RONSENAC","176","0","0","0","0","8.7","91.3","url:../graphs/rpart/rpart_c317.html;D'autres informations","16"
"16- CHAMPNIERS","4713","0.5","0","0.2","0.1","1.8","97.4","url:../graphs/rpart/rpart_c234.html;D'autres informations","16"
"16- CHALLIGNAC","12657","0","0","1.4","0","0.3","98.3","url:../graphs/rpart/rpart_c231.html;D'autres informations","16"
"16- CHALAIS","2143","0.8","0","0","0","2.5","96.7","url:../graphs/rpart/rpart_c230.html;D'autres informations","16"
"16- FOUSSIGNAC","40805","0.2","0","1.9","1.1","0.2","96.6","url:../graphs/rpart/rpart_c259.html;D'autres informations","16"
"16- CHANTILLAC","23049","0.4","0.7","0.6","0","0.2","98.1","url:../graphs/rpart/rpart_c235.html;D'autres informations","16"
"16- BLANZAC-PORCHERESSE","3718","0","0","0","0","2.1","97.9","url:../graphs/rpart/rpart_c216.html;D'autres informations","16"
"16- SAUVIGNAC","531","0","0","0","0","6.6","93.4","url:../graphs/rpart/rpart_c350.html;D'autres informations","16"
"16- JURIGNAC","20162","0","0","0.1","0","0.1","99.8","url:../graphs/rpart/rpart_c276.html;D'autres informations","16"
"16- SAINT-MEDARD","4776","0","0","0","0","0.1","99.9","url:../graphs/rpart/rpart_c335.html;D'autres informations","16"
"16- MARSAC","8311","0","0","0.3","0.2","2.8","96.8","url:../graphs/rpart/rpart_c292.html;D'autres informations","16"
"16- MARCILLAC-LANVILLE","2009","0","0","0","0","2.1","97.9","url:../graphs/rpart/rpart_c290.html;D'autres informations","16"
"16- BORS (CANTON DE MONTMOREAU-SAINT-CYBARD)","7216","0.1","0.2","0","0","0.3","99.4","url:../graphs/rpart/rpart_c221.html;D'autres informations","16"
"16- ASNIERES-SUR-NOUERE","31745","0","0","0.3","0","0.2","99.5","url:../graphs/rpart/rpart_c201.html;D'autres informations","16"
"16- JARNAC","27592","0","0","0.2","0.2","0.2","99.4","url:../graphs/rpart/rpart_c271.html;D'autres informations","16"
"16- CHERVES-RICHEMONT","119650","0.1","0","0","0","0.1","99.8","url:../graphs/rpart/rpart_c241.html;D'autres informations","16"
"16- SAINT-AMANT-DE-NOUERE","25654","0.1","0","1.3","0.6","0.1","97.9","url:../graphs/rpart/rpart_c322.html;D'autres informations","16"
"16- SAINT-SATURNIN","25767","0","0","0.3","0","0.3","99.3","url:../graphs/rpart/rpart_c339.html;D'autres informations","16"
"16- BAIGNES-SAINTE-RADEGONDE","46696","0.1","0.1","0.4","0.1","0.3","99","url:../graphs/rpart/rpart_c204.html;D'autres informations","16"
"16- ROULLET-SAINT-ESTEPHE","18377","0.1","0","0.5","0","0.3","99.1","url:../graphs/rpart/rpart_c319.html;D'autres informations","16"
"16- NONAC","3096","0","0","0.4","0","1","98.6","url:../graphs/rpart/rpart_c307.html;D'autres informations","16"
"16- SAINT-PALAIS-DU-NE","21342","0","0","0.3","0.5","1.3","97.8","url:../graphs/rpart/rpart_c337.html;D'autres informations","16"
"16- SAINT-VALLIER","4793","0","0","1.6","0","1","97.4","url:../graphs/rpart/rpart_c344.html;D'autres informations","16"
"16- TOUVERAC","6166","0.8","0.7","0","0","1","97.5","url:../graphs/rpart/rpart_c357.html;D'autres informations","16"
"16-LA COURONNE","7004","0","0.6","2.5","0.2","2","94.7","url:../graphs/rpart/rpart_c370.html;D'autres informations","16"
"16- BERNEUIL","1642","2.7","4.8","0","0","1.7","90.8","url:../graphs/rpart/rpart_c212.html;D'autres informations","16"
"16- SAINT-AMANT-DE-BOIXE","669","0","0","0","0","6.7","93.3","url:../graphs/rpart/rpart_c321.html;D'autres informations","16"
"16- CHAZELLES","154","0","0","0","0","99","1","url:../graphs/rpart/rpart_c240.html;D'autres informations","16"
"16- SAINT-CYBARDEAUX","56713","0.1","0","0.1","0","0.3","99.5","url:../graphs/rpart/rpart_c326.html;D'autres informations","16"
